Title,url,time
Persuasion (1995),https://www.imdb.com/title/tt26933001/?ref_=fn_al_tt_1,2023-03-13 17:01:46.874496
"City of Lost Children, The (1995)",https://www.imdb.com/title/tt0112682/?ref_=fn_al_tt_1,2023-03-13 17:01:49.074111
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),https://www.imdb.com/title/tt0115012/?ref_=fn_al_tt_1,2023-03-13 17:01:51.327363
Wings of Courage (1995),https://www.imdb.com/title/tt0114952/?ref_=fn_al_tt_1,2023-03-13 17:01:53.578276
Carrington (1995),https://www.imdb.com/title/tt0112637/?ref_=fn_al_tt_1,2023-03-13 17:01:55.775549
Across the Sea of Time (1995),https://www.imdb.com/title/tt0112286/?ref_=fn_al_tt_1,2023-03-13 17:01:58.024128
Seven (Se7en) (1995),https://www.imdb.com/title/tt25064618/?ref_=fn_al_tt_1,2023-03-13 17:02:00.234577
Guardian Angel (1994),https://www.imdb.com/title/tt0109950/?ref_=fn_al_tt_1,2023-03-13 17:02:02.406211
Kids of the Round Table (1995),https://www.imdb.com/title/tt0113541/?ref_=fn_al_tt_1,2023-03-13 17:02:04.654209
"Postino, Il (The Postman) (1994)",https://www.imdb.com/title/tt9065566/?ref_=fn_al_tt_1,2023-03-13 17:02:06.902245
"Confessional, The (Le Confessionnal) (1995)",https://www.imdb.com/title/tt0112714/?ref_=fn_al_tt_1,2023-03-13 17:02:09.176665
Two if by Sea (1996),https://www.imdb.com/title/tt0118002/?ref_=fn_al_tt_1,2023-03-13 17:02:11.360086
Two Bits (1995),https://www.imdb.com/title/tt0114753/?ref_=fn_al_tt_1,2023-03-13 17:02:13.551643
"Misérables, Les (1995)",https://www.imdb.com/title/tt0113828/?ref_=fn_al_tt_1,2023-03-13 17:02:28.479029
"White Balloon, The (Badkonake Sefid ) (1995)",https://www.imdb.com/title/tt0112445/?ref_=fn_al_tt_1,2023-03-13 17:02:30.716723
Things to Do in Denver when You're Dead (1995),https://www.imdb.com/title/tt0114660/?ref_=fn_al_tt_1,2023-03-13 17:02:32.955139
Antonia's Line (Antonia) (1995),https://www.imdb.com/title/tt0112379/?ref_=fn_al_tt_1,2023-03-13 17:02:35.245998
Last Summer in the Hamptons (1995),https://www.imdb.com/title/tt0113612/?ref_=fn_al_tt_1,2023-03-13 17:02:37.485228
"Journey of August King, The (1995)",https://www.imdb.com/title/tt0113490/?ref_=fn_al_tt_1,2023-03-13 17:02:39.709808
"Hate (Haine, La) (1995)",https://www.imdb.com/title/tt5580266/?ref_=fn_al_tt_1,2023-03-13 17:02:41.919564
