id,genres,name,release_time,directors,writers,starts
1,Animation|Children's|Comedy,Toy Story (1995),22 November 1995 (USA),John Lasseter,John Lasseter|Pete Docter,Tom Hanks|Tim Allen|Don Rickles
2,Adventure|Children's|Fantasy,Jumanji (1995),15 December 1995 (USA),Joe Johnston,Jonathan Hensleigh|Greg Taylor,Robin Williams|Kirsten Dunst|Bonnie Hunt
3,Comedy|Romance,Grumpier Old Men (1995),22 December 1995 (USA),Howard Deutch,Mark Steven Johnson,Walter Matthau|Jack Lemmon|Ann-Margret
4,Comedy|Drama,Waiting to Exhale (1995),22 December 1995 (USA),Forest Whitaker,Terry McMillan|Terry McMillan,Whitney Houston|Angela Bassett|Loretta Devine
5,Comedy,Father of the Bride Part II (1995),8 December 1995 (USA),Charles Shyer,Albert Hackett|Frances Goodrich,Steve Martin|Diane Keaton|Martin Short
6,Action|Crime|Thriller,Heat (1995),15 December 1995 (USA),Michael Mann,Michael Mann,Al Pacino|Robert De Niro|Val Kilmer
7,Comedy|Romance,Sabrina (1995),15 December 1995 (USA),Sydney Pollack,Samuel A. Taylor|Billy Wilder,Harrison Ford|Julia Ormond|Greg Kinnear
8,Adventure|Children's,Tom and Huck (1995),22 December 1995 (USA),Peter Hewitt,Mark Twain|Stephen Sommers,Jonathan Taylor Thomas|Brad Renfro|Charles Rocket
9,Action,Sudden Death (1995),22 December 1995 (USA),Peter Hyams,Karen Elise Baldwin,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry
10,Action|Adventure|Thriller,GoldenEye (1995),17 November 1995 (USA),Martin Campbell,Ian Fleming|Michael France,Pierce Brosnan|Sean Bean|Izabella Scorupco
11,Comedy|Drama|Romance,"American President, The (1995)",17 November 1995 (USA),Rob Reiner,Aaron Sorkin,Michael Douglas|Annette Bening|Martin Sheen
12,Comedy|Horror,Dracula: Dead and Loving It (1995),22 December 1995 (USA),Mel Brooks,Mel Brooks|Rudy De Luca,Leslie Nielsen|Mel Brooks|Peter MacNicol
13,Animation|Children's,Balto (1995),22 December 1995 (USA),Simon Wells,Cliff Ruby|Elana Lesser,Kevin Bacon|Bob Hoskins|Bridget Fonda
14,Drama,Nixon (1995),5 January 1996 (USA),Oliver Stone,Stephen J. Rivele|Christopher Wilkinson,Anthony Hopkins|Joan Allen|Powers Boothe
15,Action|Adventure|Romance,Cutthroat Island (1995),22 December 1995 (USA),Renny Harlin,Michael Frost Beckner|James Gorman,Geena Davis|Matthew Modine|Frank Langella
16,Drama|Thriller,Casino (1995),22 November 1995 (USA),Martin Scorsese,Nicholas Pileggi|Nicholas Pileggi,Robert De Niro|Sharon Stone|Joe Pesci
17,Drama|Romance,Sense and Sensibility (1995),26 January 1996 (USA),Ang Lee,Jane Austen,Emma Thompson|Kate Winslet|James Fleet
18,Thriller,Four Rooms (1995),25 December 1995 (USA),Allison Anders|Alexandre Rockwell|3 more credits,Allison Anders|Alexandre Rockwell,Tim Roth|Antonio Banderas|Sammi Davis
19,Comedy,Ace Ventura: When Nature Calls (1995),10 November 1995 (USA),Steve Oedekerk,Jack Bernstein,Jim Carrey|Ian McNeice|Simon Callow
20,Action,Money Train (1995),22 November 1995 (USA),Joseph Ruben,Doug Richardson|Doug Richardson,Wesley Snipes|Woody Harrelson|Jennifer Lopez
21,Action|Comedy|Drama,Get Shorty (1995),20 October 1995 (USA),Barry Sonnenfeld,Elmore Leonard,Gene Hackman|Rene Russo|Danny DeVito
22,Crime|Drama|Thriller,Copycat (1995),27 October 1995 (USA),Jon Amiel,Ann Biderman,Sigourney Weaver|Holly Hunter|Dermot Mulroney
23,Thriller,Assassins (1995),6 October 1995 (USA),Richard Donner,Lilly Wachowski|Lana Wachowski,Sylvester Stallone|Antonio Banderas|Julianne Moore
24,Drama|Sci-Fi,Powder (1995),27 October 1995 (USA),Victor Salva,Victor Salva,Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen
25,Drama|Romance,Leaving Las Vegas (1995),19 January 1996 (UK),Mike Figgis,John O'Brien,Nicolas Cage|Elisabeth Shue|Julian Sands
26,Drama,Othello (1995),19 January 1996 (USA),Oliver Parker,Oliver Parker,Laurence Fishburne|Kenneth Branagh|Irène Jacob
27,Drama,Now and Then (1995),20 October 1995 (USA),Lesli Linka Glatter,I. Marlene King,Christina Ricci|Demi Moore|Rosie O'Donnell
28,Romance,Persuasion (1995),"April 16, 1995 ",Roger Michell,,Corin Redgrave|Amanda Root|Corin Redgrave|Amanda Root|Corin Redgrave|Amanda Root|Corin Redgrave|Amanda Root
29,Adventure|Sci-Fi,"City of Lost Children, The (1995)","December 15, 1995 ",Marc Caro|Jean-Pierre Jeunet,Gilles Adrien|Jean-Pierre Jeunet|Marc Caro|Gilles Adrien|Jean-Pierre Jeunet|Marc Caro|Gilles Adrien|Jean-Pierre Jeunet|Marc Caro|Gilles Adrien|Jean-Pierre Jeunet|Marc Caro|Gilles Adrien|Jean-Pierre Jeunet|Marc Caro|Gilles Adrien|Jean-Pierre Jeunet|Marc Caro,Ron Perlman|Daniel Emilfork|Judith Vittet|Ron Perlman|Daniel Emilfork|Judith Vittet|Ron Perlman|Daniel Emilfork|Judith Vittet|Ron Perlman|Daniel Emilfork|Judith Vittet
30,Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"December 22, 1995 ",Yimou Zhang,Feiyu Bi|Li Xiao|Feiyu Bi|Li Xiao|Feiyu Bi|Li Xiao|Feiyu Bi|Li Xiao|Feiyu Bi|Li Xiao|Feiyu Bi|Li Xiao,Gong Li|Baotian Li|Xiaoxiao Wang|Gong Li|Baotian Li|Xiaoxiao Wang|Gong Li|Baotian Li|Xiaoxiao Wang|Gong Li|Baotian Li|Xiaoxiao Wang
31,Drama,Dangerous Minds (1995),11 August 1995 (USA),John N. Smith,LouAnne Johnson,Michelle Pfeiffer|George Dzundza|Courtney B. Vance
32,Drama|Sci-Fi,Twelve Monkeys (1995),5 January 1996 (USA),Terry Gilliam,Chris Marker|David Webb Peoples,Bruce Willis|Madeleine Stowe|Brad Pitt
33,Adventure|Romance,Wings of Courage (1995),"September 18, 1996 ",Jean-Jacques Annaud,Alain Godard|Jean-Jacques Annaud|Alain Godard|Jean-Jacques Annaud|Alain Godard|Jean-Jacques Annaud|Alain Godard|Jean-Jacques Annaud|Alain Godard|Jean-Jacques Annaud|Alain Godard|Jean-Jacques Annaud,Craig Sheffer|Elizabeth McGovern|Tom Hulce|Craig Sheffer|Elizabeth McGovern|Tom Hulce|Craig Sheffer|Elizabeth McGovern|Tom Hulce|Craig Sheffer|Elizabeth McGovern|Tom Hulce
34,Children's|Comedy|Drama,Babe (1995),4 August 1995 (USA),Chris Noonan,Dick King-Smith|George Miller,James Cromwell|Magda Szubanski|Christine Cavanaugh
35,Drama|Romance,Carrington (1995),"November 10, 1995 ",Christopher Hampton,Christopher Hampton|Michael Holroyd|Christopher Hampton|Michael Holroyd|Christopher Hampton|Michael Holroyd|Christopher Hampton|Michael Holroyd|Christopher Hampton|Michael Holroyd|Christopher Hampton|Michael Holroyd,Emma Thompson|Jonathan Pryce|Steven Waddington|Emma Thompson|Jonathan Pryce|Steven Waddington|Emma Thompson|Jonathan Pryce|Steven Waddington|Emma Thompson|Jonathan Pryce|Steven Waddington
36,Drama,Dead Man Walking (1995),2 February 1996 (USA),Tim Robbins,Helen Prejean,Susan Sarandon|Sean Penn|Robert Prosky
37,Documentary,Across the Sea of Time (1995),"October 20, 1995 ",Stephen Low,Andrew Gellis|Andrew Gellis|Andrew Gellis,Peter Reznick|John McDonough|Avi Hoffman|Peter Reznick|John McDonough|Avi Hoffman|Peter Reznick|John McDonough|Avi Hoffman|Peter Reznick|John McDonough|Avi Hoffman
38,Comedy,It Takes Two (1995),17 November 1995 (USA),Andy Tennant,Deborah Dean Davis,Kirstie Alley|Steve Guttenberg|Mary-Kate Olsen
39,Comedy|Romance,Clueless (1995),19 July 1995 (USA),Amy Heckerling,Amy Heckerling,Alicia Silverstone|Stacey Dash|Brittany Murphy
40,Drama,"Cry, the Beloved Country (1995)",27 October 1995 (South Africa),Darrell Roodt,Ronald Harwood,Richard Harris|James Earl Jones|Vusi Kunene
41,Drama|War,Richard III (1995),29 December 1995 (USA),Richard Loncraine,Ian McKellen|Richard Loncraine,Ian McKellen|Annette Bening|Christopher Bowen
42,Action|Crime|Drama,Dead Presidents (1995),6 October 1995 (USA),Albert Hughes|Allen Hughes,Allen Hughes|Albert Hughes,Larenz Tate|Keith David|Chris Tucker
43,Drama,Restoration (1995),2 February 1996 (USA),Michael Hoffman,Rose Tremain,Robert Downey Jr.|Sam Neill|David Thewlis
44,Action|Adventure,Mortal Kombat (1995),18 August 1995 (USA),Paul W.S. Anderson,Ed Boon|John Tobias,Christopher Lambert|Robin Shou|Linden Ashby
45,Comedy|Drama,To Die For (1995),6 October 1995 (USA),Gus Van Sant,Joyce Maynard,Nicole Kidman|Matt Dillon|Joaquin Phoenix
46,Drama|Romance,How to Make an American Quilt (1995),6 October 1995 (USA),Jocelyn Moorhouse,Whitney Otto,Winona Ryder|Ellen Burstyn|Anne Bancroft
47,Crime|Thriller,Seven (Se7en) (1995),"October 27, 2021 ",,,
48,Animation|Children's|Musical|Romance,Pocahontas (1995),23 June 1995 (USA),Mike Gabriel|Eric Goldberg,Carl Binder|Susannah Grant,Mel Gibson|Linda Hunt|Christian Bale
49,Drama|Romance,When Night Is Falling (1995),5 May 1995 (Canada),Patricia Rozema,Patricia Rozema,Pascale Bussières|Rachael Crawford|Henry Czerny
50,Crime|Thriller,"Usual Suspects, The (1995)",16 August 1995 (USA),Bryan Singer,Christopher McQuarrie,Kevin Spacey|Gabriel Byrne|Chazz Palminteri
51,Action|Drama|Thriller,Guardian Angel (1994),"November 22, 1994 ",Richard W. Munchkin,Joe Hart|Joe Hart|Joe Hart,Cynthia Rothrock|Daniel McVicar|Lydie Denier|Cynthia Rothrock|Daniel McVicar|Lydie Denier|Cynthia Rothrock|Daniel McVicar|Lydie Denier|Cynthia Rothrock|Daniel McVicar|Lydie Denier
52,Comedy,Mighty Aphrodite (1995),10 November 1995 (USA),Woody Allen,Woody Allen,Woody Allen|Mira Sorvino|Pamela Blair
53,Drama,Lamerica (1994),9 September 1994 (Italy),Gianni Amelio,Gianni Amelio|Andrea Porporati,Enrico Lo Verso|Michele Placido|Piro Milkani
54,Children's|Comedy,"Big Green, The (1995)",29 September 1995 (USA),Holly Goldberg Sloan,Holly Goldberg Sloan,Steve Guttenberg|Olivia d'Abo|Jay O. Sanders
55,Drama,Georgia (1995),19 May 1995 (France),Ulu Grosbard,Barbara Turner,Jennifer Jason Leigh|Mare Winningham|Ted Levine
