name,url,create_time,spider_time,title,time,release_date,intro,genres,directors,writers,stars,actors
"Saint of Fort Washington, The (1993)",https://www.imdb.com/title/tt0108026/?ref_=fn_al_tt_1,2023-03-13 17:07:44.392742,2023-03-14 07:12:16.150117,The Saint of Fort Washington,1 hour 43 minutes,"November 17, 1993 ",,Drama,Tim Hunter,Lyle Kessler|Lyle Kessler|Lyle Kessler,,Danny Glover|Matt Dillon|Rick Aviles|Danny Glover|Matt Dillon|Rick Aviles|Danny Glover|Matt Dillon|Rick Aviles|Danny Glover|Matt Dillon|Rick Aviles
"Savage Nights (Nuits fauves, Les) (1992)",https://www.imdb.com/title/tt0105032/?ref_=fn_al_tt_1,2023-03-13 17:07:46.693264,2023-03-14 07:12:22.248766,Savage Nights,2 hours 6 minutes,"February 25, 1994 ",,Biography|Crime|Drama,Cyril Collard,Cyril Collard|Jacques Fieschi|Cyril Collard|Jacques Fieschi|Cyril Collard|Jacques Fieschi|Cyril Collard|Jacques Fieschi|Cyril Collard|Jacques Fieschi|Cyril Collard|Jacques Fieschi,,Cyril Collard|Romane Bohringer|Carlos López|Cyril Collard|Romane Bohringer|Carlos López|Cyril Collard|Romane Bohringer|Carlos López|Cyril Collard|Romane Bohringer|Carlos López
Second Best (1994),https://www.imdb.com/title/tt0111102/?ref_=fn_al_tt_1,2023-03-13 17:07:49.039226,2023-03-14 07:12:29.053936,Second Best,1 hour 45 minutes,"September 30, 1994 ",,Drama,Chris Menges,David Cook|David Cook|David Cook,,William Hurt|Nathan Yapp|Keith Allen|William Hurt|Nathan Yapp|Keith Allen|William Hurt|Nathan Yapp|Keith Allen|William Hurt|Nathan Yapp|Keith Allen
Harlem (1993),https://www.imdb.com/title/tt0107079/?ref_=fn_al_tt_1,2023-03-13 17:07:51.258337,2023-03-14 07:12:35.901547,Sugar Hill,2 hours 3 minutes,"February 25, 1994 ",,Crime|Drama|Thriller,Leon Ichaso,Barry Michael Cooper|Barry Michael Cooper|Barry Michael Cooper,,Wesley Snipes|Michael Wright|Khandi Alexander|Wesley Snipes|Michael Wright|Khandi Alexander|Wesley Snipes|Michael Wright|Khandi Alexander|Wesley Snipes|Michael Wright|Khandi Alexander
Thirty-Two Short Films About Glenn Gould (1993),https://www.imdb.com/title/tt0108328/?ref_=fn_al_tt_1,2023-03-13 17:07:53.605252,2023-03-14 07:12:42.046320,Thirty Two Short Films About Glenn Gould,1 hour 38 minutes,"November 26, 1993 ",,Biography|Drama|Music,François Girard,François Girard|Don McKellar|Glenn Gould|François Girard|Don McKellar|Glenn Gould|François Girard|Don McKellar|Glenn Gould|François Girard|Don McKellar|Glenn Gould|François Girard|Don McKellar|Glenn Gould|François Girard|Don McKellar|Glenn Gould,,Colm Feore|Derek Keurvorst|Katya Ladan|Colm Feore|Derek Keurvorst|Katya Ladan|Colm Feore|Derek Keurvorst|Katya Ladan|Colm Feore|Derek Keurvorst|Katya Ladan
Trial by Jury (1994),https://www.imdb.com/title/tt0111488/?ref_=fn_al_tt_1,2023-03-13 17:07:55.898511,2023-03-14 07:12:48.271897,Trial by Jury,1 hour 47 minutes,"September 9, 1994 ",,Crime|Drama|Thriller,Heywood Gould,Jordan Katz|Heywood Gould|Jordan Katz|Heywood Gould|Jordan Katz|Heywood Gould|Jordan Katz|Heywood Gould|Jordan Katz|Heywood Gould|Jordan Katz|Heywood Gould,,Joanne Whalley|Armand Assante|Gabriel Byrne|Joanne Whalley|Armand Assante|Gabriel Byrne|Joanne Whalley|Armand Assante|Gabriel Byrne|Joanne Whalley|Armand Assante|Gabriel Byrne
Mamma Roma (1962),https://www.imdb.com/title/tt0056215/?ref_=fn_al_tt_1,2023-03-13 17:07:58.169865,2023-03-14 07:12:54.315335,Mamma Roma,1 hour 50 minutes,"January 18, 1965 ",,Drama,Pier Paolo Pasolini,Pier Paolo Pasolini|Pier Paolo Pasolini|Pier Paolo Pasolini,,Anna Magnani|Ettore Garofolo|Franco Citti|Anna Magnani|Ettore Garofolo|Franco Citti|Anna Magnani|Ettore Garofolo|Franco Citti|Anna Magnani|Ettore Garofolo|Franco Citti
"Paris, France (1993)",https://www.imdb.com/title/tt0107779/?ref_=fn_al_tt_1,2023-03-13 17:08:00.484407,2023-03-14 07:13:00.760702,"Paris, France",1 hour 52 minutes,"February 4, 1994 ",,Comedy|Drama|Thriller,Jerry Ciccoritti,Tom Walmsley|Tom Walmsley|Tom Walmsley,,Leslie Hope|Peter Outerbridge|Victor Ertmanis|Leslie Hope|Peter Outerbridge|Victor Ertmanis|Leslie Hope|Peter Outerbridge|Victor Ertmanis|Leslie Hope|Peter Outerbridge|Victor Ertmanis
"Beans of Egypt, Maine, The (1994)",https://www.imdb.com/title/tt0109226/?ref_=fn_al_tt_1,2023-03-13 17:08:02.773922,2023-03-14 07:13:07.122948,"The Beans of Egypt, Maine",1 hour 39 minutes,"November 23, 1994 ",,Drama,Jennifer Warren,Carolyn Chute|Bill Phillips|Carolyn Chute|Bill Phillips|Carolyn Chute|Bill Phillips|Carolyn Chute|Bill Phillips|Carolyn Chute|Bill Phillips|Carolyn Chute|Bill Phillips,,Martha Plimpton|Kelly Lynch|Rutger Hauer|Martha Plimpton|Kelly Lynch|Rutger Hauer|Martha Plimpton|Kelly Lynch|Rutger Hauer|Martha Plimpton|Kelly Lynch|Rutger Hauer
Killer (Bulletproof Heart) (1994),https://www.imdb.com/title/tt0110259/?ref_=fn_al_tt_1,2023-03-13 17:08:05.060515,2023-03-14 07:13:13.467872,Bulletproof Heart,1 hour 35 minutes,"March 31, 1995 ",,Crime|Drama|Romance,Mark Malone,Gordon Melbourne|Mark Malone|Gordon Melbourne|Mark Malone|Gordon Melbourne|Mark Malone|Gordon Melbourne|Mark Malone|Gordon Melbourne|Mark Malone|Gordon Melbourne|Mark Malone,,Anthony LaPaglia|Mimi Rogers|Matt Craven|Anthony LaPaglia|Mimi Rogers|Matt Craven|Anthony LaPaglia|Mimi Rogers|Matt Craven|Anthony LaPaglia|Mimi Rogers|Matt Craven
