Title,url,time
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"Shaggy D.A., The (1976)",https://www.imdb.com/title/tt24531216/?ref_=fn_al_tt_1,2023-03-13 17:01:44.204497
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"Shaggy D.A., The (1976)",https://www.imdb.com/title/tt24531216/?ref_=fn_al_tt_1,2023-03-13 17:01:44.204497
Squanto: A Warrior's Tale (1994),https://www.imdb.com/title/tt0111271/?ref_=fn_al_tt_1,2023-03-13 17:01:46.420713
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"Shaggy D.A., The (1976)",https://www.imdb.com/title/tt24531216/?ref_=fn_al_tt_1,2023-03-13 17:01:44.204497
Squanto: A Warrior's Tale (1994),https://www.imdb.com/title/tt0111271/?ref_=fn_al_tt_1,2023-03-13 17:01:46.420713
Steamboat Willie (1940),https://www.imdb.com/title/tt0019422/?ref_=fn_al_tt_1,2023-03-13 17:01:48.603805
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"Shaggy D.A., The (1976)",https://www.imdb.com/title/tt24531216/?ref_=fn_al_tt_1,2023-03-13 17:01:44.204497
Squanto: A Warrior's Tale (1994),https://www.imdb.com/title/tt0111271/?ref_=fn_al_tt_1,2023-03-13 17:01:46.420713
Steamboat Willie (1940),https://www.imdb.com/title/tt0019422/?ref_=fn_al_tt_1,2023-03-13 17:01:48.603805
Tall Tale (1994),https://www.imdb.com/title/tt21369134/?ref_=fn_al_tt_1,2023-03-13 17:01:50.754811
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"Shaggy D.A., The (1976)",https://www.imdb.com/title/tt24531216/?ref_=fn_al_tt_1,2023-03-13 17:01:44.204497
Squanto: A Warrior's Tale (1994),https://www.imdb.com/title/tt0111271/?ref_=fn_al_tt_1,2023-03-13 17:01:46.420713
Steamboat Willie (1940),https://www.imdb.com/title/tt0019422/?ref_=fn_al_tt_1,2023-03-13 17:01:48.603805
Tall Tale (1994),https://www.imdb.com/title/tt21369134/?ref_=fn_al_tt_1,2023-03-13 17:01:50.754811
Halloween: H20 (1998),https://www.imdb.com/title/tt0120694/?ref_=fn_al_tt_1,2023-03-13 17:01:52.926589
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"Shaggy D.A., The (1976)",https://www.imdb.com/title/tt24531216/?ref_=fn_al_tt_1,2023-03-13 17:01:44.204497
Squanto: A Warrior's Tale (1994),https://www.imdb.com/title/tt0111271/?ref_=fn_al_tt_1,2023-03-13 17:01:46.420713
Steamboat Willie (1940),https://www.imdb.com/title/tt0019422/?ref_=fn_al_tt_1,2023-03-13 17:01:48.603805
Tall Tale (1994),https://www.imdb.com/title/tt21369134/?ref_=fn_al_tt_1,2023-03-13 17:01:50.754811
Halloween: H20 (1998),https://www.imdb.com/title/tt0120694/?ref_=fn_al_tt_1,2023-03-13 17:01:52.926589
Graveyard Shift (1990),https://www.imdb.com/title/tt0099697/?ref_=fn_al_tt_1,2023-03-13 17:01:55.112243
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"Shaggy D.A., The (1976)",https://www.imdb.com/title/tt24531216/?ref_=fn_al_tt_1,2023-03-13 17:01:44.204497
Squanto: A Warrior's Tale (1994),https://www.imdb.com/title/tt0111271/?ref_=fn_al_tt_1,2023-03-13 17:01:46.420713
Steamboat Willie (1940),https://www.imdb.com/title/tt0019422/?ref_=fn_al_tt_1,2023-03-13 17:01:48.603805
Tall Tale (1994),https://www.imdb.com/title/tt21369134/?ref_=fn_al_tt_1,2023-03-13 17:01:50.754811
Halloween: H20 (1998),https://www.imdb.com/title/tt0120694/?ref_=fn_al_tt_1,2023-03-13 17:01:52.926589
Graveyard Shift (1990),https://www.imdb.com/title/tt0099697/?ref_=fn_al_tt_1,2023-03-13 17:01:55.112243
Ever After: A Cinderella Story (1998),https://www.imdb.com/title/tt0120631/?ref_=fn_al_tt_1,2023-03-13 17:01:57.312683
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"Shaggy D.A., The (1976)",https://www.imdb.com/title/tt24531216/?ref_=fn_al_tt_1,2023-03-13 17:01:44.204497
Squanto: A Warrior's Tale (1994),https://www.imdb.com/title/tt0111271/?ref_=fn_al_tt_1,2023-03-13 17:01:46.420713
Steamboat Willie (1940),https://www.imdb.com/title/tt0019422/?ref_=fn_al_tt_1,2023-03-13 17:01:48.603805
Tall Tale (1994),https://www.imdb.com/title/tt21369134/?ref_=fn_al_tt_1,2023-03-13 17:01:50.754811
Halloween: H20 (1998),https://www.imdb.com/title/tt0120694/?ref_=fn_al_tt_1,2023-03-13 17:01:52.926589
Graveyard Shift (1990),https://www.imdb.com/title/tt0099697/?ref_=fn_al_tt_1,2023-03-13 17:01:55.112243
Ever After: A Cinderella Story (1998),https://www.imdb.com/title/tt0120631/?ref_=fn_al_tt_1,2023-03-13 17:01:57.312683
"First Love, Last Rites (1997)",https://www.imdb.com/title/tt0128214/?ref_=fn_al_tt_1,2023-03-13 17:01:59.547031
"'burbs, The (1989)",https://www.imdb.com/title/tt0096734/?ref_=fn_al_tt_1,2023-03-13 17:01:31.044829
"Night Porter, The (Il Portiere di notte) (1974)",https://www.imdb.com/title/tt0071910/?ref_=fn_al_tt_1,2023-03-13 17:01:33.269575
Kidnapped (1960),https://www.imdb.com/title/tt1629377/?ref_=fn_al_tt_1,2023-03-13 17:01:35.417295
101 Dalmatians (1961),https://www.imdb.com/title/tt0055254/?ref_=fn_al_tt_1,2023-03-13 17:01:37.613673
One Magic Christmas (1985),https://www.imdb.com/title/tt0089731/?ref_=fn_al_tt_1,2023-03-13 17:01:39.807998
"Return of Jafar, The (1993)",https://www.imdb.com/title/tt0167260/?ref_=fn_al_tt_1,2023-03-13 17:01:42.018325
"Shaggy D.A., The (1976)",https://www.imdb.com/title/tt24531216/?ref_=fn_al_tt_1,2023-03-13 17:01:44.204497
Squanto: A Warrior's Tale (1994),https://www.imdb.com/title/tt0111271/?ref_=fn_al_tt_1,2023-03-13 17:01:46.420713
Steamboat Willie (1940),https://www.imdb.com/title/tt0019422/?ref_=fn_al_tt_1,2023-03-13 17:01:48.603805
Tall Tale (1994),https://www.imdb.com/title/tt21369134/?ref_=fn_al_tt_1,2023-03-13 17:01:50.754811
Halloween: H20 (1998),https://www.imdb.com/title/tt0120694/?ref_=fn_al_tt_1,2023-03-13 17:01:52.926589
